#At time x allocated y bytes for process z from i to j
At time 2 allocated 122 bytes for process 1 from 0 to 127
At time 13 freed 122 bytes for process 1 from 0 to 127
At time 13 allocated 174 bytes for process 2 from 0 to 255
At time 14 freed 174 bytes for process 2 from 0 to 255
At time 14 allocated 28 bytes for process 3 from 0 to 31
At time 31 freed 28 bytes for process 3 from 0 to 31
At time 31 allocated 510 bytes for process 7 from 0 to 1023
At time 43 freed 1008 bytes for process 4 from 0 to 1023
At time 43 allocated 510 bytes for process 7 from 0 to 511
At time 61 freed 510 bytes for process 6 from 0 to 511
At time 61 allocated 510 bytes for process 7 from 0 to 511
At time 71 freed 510 bytes for process 7 from 0 to 511
At time 71 allocated 510 bytes for process 7 from 0 to 255
At time 73 freed 163 bytes for process 5 from 0 to 255
